Ino,State,flag,transaction,time elapsed,culmulative time elapsed
39276,7,1,2.7665163272531528,0.361465425,3.0452898319999995
39276,7,1,397772.47414478916,2.514e-06,3.0452923459999997
39276,7,1,1751313.4851138354,5.71e-07,3.045292917
136184,32,1,5154.18751965034,0.000194017,3.045486934
136184,32,1,907441.0163339383,1.102e-06,3.045488036
136184,32,1,520020.8008320333,1.923e-06,3.045489959
39276,7,1,12650.381408999483,7.9049e-05,3.045569008
39276,7,1,2217294.9002217297,4.51e-07,3.045569459
39276,7,1,2079002.0790020789,4.81e-07,3.04556994
34383,7,1,1652.1798034236472,0.000605261,3.046175201
34383,7,1,767459.7083653108,1.303e-06,3.046176504
34383,7,1,2702702.7027027025,3.7e-07,3.046176874
34383,7,1,15899.767863389196,6.2894e-05,3.046239768
34383,7,1,941619.5856873824,1.062e-06,3.04624083
34383,7,1,2493765.5860349126,4.01e-07,3.0462412309999998
786508,0,1,12.746922386245796,0.078450309,3.1246915399999997
786508,0,1,519750.5197505197,1.924e-06,3.124693464
786508,0,1,272702.4815925825,3.667e-06,3.124697131
786509,32,1,7522.699746485018,0.000132931,3.124830062
786509,32,1,2123142.2505307854,4.71e-07,3.124830533
786509,32,1,768049.1551459293,1.302e-06,3.1248318349999997
786509,33,1,135244.7930754666,7.394e-06,3.1248392289999996
786509,33,1,2770083.1024930747,3.61e-07,3.1248395899999997
786509,33,1,853242.3208191127,1.172e-06,3.124840762
786519,32,1,28673.012960201857,3.4876e-05,3.124875638
786519,32,1,2777777.777777778,3.6e-07,3.124875998
786519,32,1,838222.9673093043,1.193e-06,3.124877191
786512,32,1,40133.24236465064,2.4917e-05,3.124902108
786512,32,1,2941176.4705882357,3.4e-07,3.1249024480000003
786512,32,1,860585.1979345955,1.162e-06,3.1249036100000005
786515,0,4,10228.609420549277,9.7765e-05,3.1250013750000005
786515,4,7,1161440.1858304297,8.61e-07,3.1250022360000007
786515,4,7,3215434.083601286,3.11e-07,3.1250025470000007
786515,4,7,421052.63157894736,2.375e-06,3.125004922000001
786516,32,1,24004.99303855202,4.1658e-05,3.125046580000001
786516,32,1,2557544.757033248,3.91e-07,3.125046971000001
786516,32,1,798722.0447284345,1.252e-06,3.125048223000001
786520,32,1,38851.54823419714,2.5739e-05,3.125073962000001
786520,32,1,2857142.8571428573,3.5e-07,3.125074312000001
786520,32,1,845308.53761623,1.183e-06,3.1250754950000013
786508,33,1,5409.55760637895,0.000184858,3.125260353000001
786508,33,1,1536098.3102918586,6.51e-07,3.1252610040000013
786508,33,1,660938.5327164574,1.513e-06,3.1252625170000012
786508,32776,7,4612.1419248313105,0.000216819,3.125479336000001
786508,32776,7,1445086.7052023122,6.92e-07,3.125480028000001
786508,32776,7,661375.6613756614,1.512e-06,3.125481540000001
786509,0,4,4450.893294284163,0.000224674,3.125706214000001
